Angle,Intensity
19.482194248,725.0
19.508454813,779.0
19.534715378,713.0
19.560975943,749.0
19.587236508,751.0
19.613497073,765.0
19.639757638,765.0
19.666018203,765.0
19.692278768,739.0
19.718539333,730.0
19.744799898,758.0
19.771060463,732.0
19.797321028,708.0
19.823581594,676.0
19.849842159,737.0
19.876102724,737.0
19.902363289,769.0
19.928623854,701.0
19.954884419,738.0
19.981144984,662.0
20.007405549,720.0
20.033666114,718.0
20.059926679,729.0
20.086187244,707.0
20.112447809,753.0
20.138708374,757.0
20.164968939,690.0
20.191229504,719.0
20.217490069,715.0
20.243750634,701.0
20.270011199,705.0
20.296271764,696.0
20.322532329,712.0
20.348792894,711.0
20.375053459,730.0
20.401314024,700.0
20.427574589,736.0
20.453835154,711.0
20.480095719,665.0
20.506356284,686.0
20.532616849,736.0
20.558877414,678.0
20.585137979,722.0
20.611398544,689.0
20.637659109,641.0
20.663919674,741.0
20.690180239,712.0
20.716440804,736.0
20.742701369,639.0
20.768961934,652.0
20.795222499,639.0
20.821483064,688.0
20.847743629,670.0
20.874004194,689.0
20.900264759,702.0
20.926525324,656.0
20.952785889,646.0
20.979046454,646.0
21.005307019,672.0
21.031567584,670.0
21.057828149,725.0
21.084088714,650.0
21.110349279,654.0
21.136609844,661.0
21.162870409,664.0
21.189130974,644.0
21.215391539,656.0
21.241652104,599.0
21.267912669,684.0
21.294173234,590.0
21.320433799,602.0
21.346694364,688.0
21.372954929,658.0
21.399215494,596.0
21.425476059,673.0
21.451736624,648.0
21.477997189,661.0
21.504257754,674.0
21.530518319,654.0
21.556778884,710.0
21.583039449,646.0
21.609300014,635.0
21.635560579,642.0
21.661821144,660.0
21.688081709,682.0
21.714342274,615.0
21.740602839,609.0
21.766863404,602.0
21.793123969,567.0
21.819384534,630.0
21.845645099,677.0
21.871905664,612.0
21.898166229,641.0
21.924426794,670.0
21.950687359,608.0
21.976947924,625.0
22.003208489,613.0
22.029469054,679.0
22.055729619,625.0
22.081990184,639.0
22.108250749,622.0
22.134511314,617.0
22.160771879,613.0
22.187032444,629.0
22.213293009,684.0
22.239553574,655.0
22.265814139,613.0
22.292074704,627.0
22.318335269,639.0
22.344595834,621.0
22.370856399,579.0
22.397116964,605.0
22.423377529,601.0
22.449638094,614.0
22.475898659,580.0
22.502159224,580.0
22.528419789,635.0
22.554680354,626.0
22.580940919,628.0
22.607201485,600.0
22.633462050,624.0
22.659722615,609.0
22.685983180,596.0
22.712243745,656.0
22.738504310,636.0
22.764764875,593.0
22.791025440,621.0
22.817286005,627.0
22.843546570,645.0
22.869807135,632.0
22.896067700,618.0
22.922328265,637.0
22.948588830,633.0
22.974849395,599.0
23.001109960,588.0
23.027370525,700.0
23.053631090,715.0
23.079891655,795.0
23.106152220,894.0
23.132412785,1008.0
23.158673350,1243.0
23.184933915,1464.0
23.211194480,1806.0
23.237455045,2285.0
23.263715610,2182.0
23.289976175,1824.0
23.316236740,1452.0
23.342497305,1024.0
23.368757870,841.0
23.395018435,691.0
23.421279000,687.0
23.447539565,648.0
23.473800130,634.0
23.500060695,621.0
23.526321260,603.0
23.552581825,548.0
23.578842390,557.0
23.605102955,589.0
23.631363520,556.0
23.657624085,572.0
23.683884650,568.0
23.710145215,597.0
23.736405780,581.0
23.762666345,605.0
23.788926910,552.0
23.815187475,537.0
23.841448040,595.0
23.867708605,490.0
23.893969170,585.0
23.920229735,574.0
23.946490300,548.0
23.972750865,577.0
23.999011430,591.0
