Angle,Intensity
24.576743860,550.0
24.603004425,523.0
24.629264990,558.0
24.655525555,581.0
24.681786120,611.0
24.708046685,556.0
24.734307250,520.0
24.760567815,511.0
24.786828380,573.0
24.813088945,563.0
24.839349510,532.0
24.865610075,555.0
24.891870640,517.0
24.918131205,525.0
24.944391770,585.0
24.970652335,560.0
24.996912900,526.0
25.023173465,552.0
25.049434030,561.0
25.075694595,541.0
25.101955160,568.0
25.128215725,572.0
25.154476290,564.0
25.180736855,529.0
25.206997420,572.0
25.233257985,468.0
25.259518550,533.0
25.285779115,510.0
25.312039680,516.0
25.338300245,503.0
25.364560810,569.0
25.390821375,514.0
25.417081941,543.0
25.443342506,592.0
25.469603071,506.0
25.495863636,519.0
25.522124201,532.0
25.548384766,545.0
25.574645331,530.0
25.600905896,563.0
25.627166461,525.0
25.653427026,521.0
25.679687591,547.0
25.705948156,520.0
25.732208721,518.0
25.758469286,506.0
25.784729851,508.0
25.810990416,542.0
25.837250981,528.0
25.863511546,486.0
25.889772111,555.0
25.916032676,534.0
25.942293241,530.0
25.968553806,545.0
25.994814371,492.0
26.021074936,518.0
26.047335501,533.0
26.073596066,542.0
26.099856631,514.0
26.126117196,453.0
26.152377761,512.0
26.178638326,485.0
26.204898891,464.0
26.231159456,507.0
26.257420021,487.0
26.283680586,482.0
26.309941151,533.0
26.336201716,482.0
26.362462281,542.0
26.388722846,521.0
26.414983411,485.0
26.441243976,496.0
26.467504541,533.0
26.493765106,507.0
26.520025671,561.0
26.546286236,494.0
26.572546801,506.0
26.598807366,508.0
26.625067931,464.0
26.651328496,489.0
26.677589061,481.0
26.703849626,504.0
26.730110191,514.0
26.756370756,560.0
26.782631321,479.0
26.808891886,433.0
26.835152451,509.0
26.861413016,476.0
26.887673581,461.0
26.913934146,492.0
26.940194711,470.0
26.966455276,449.0
26.992715841,487.0
27.018976406,470.0
27.045236971,496.0
27.071497536,509.0
27.097758101,512.0
27.124018666,539.0
27.150279231,502.0
27.176539796,430.0
27.202800361,500.0
27.229060926,489.0
27.255321491,534.0
27.281582056,513.0
27.307842621,514.0
27.334103186,542.0
27.360363751,515.0
27.386624316,512.0
27.412884881,509.0
27.439145446,492.0
27.465406011,481.0
27.491666576,503.0
27.517927141,546.0
27.544187706,549.0
27.570448271,507.0
27.596708836,489.0
27.622969401,493.0
27.649229966,534.0
27.675490531,513.0
27.701751096,511.0
27.728011661,494.0
27.754272226,491.0
27.780532791,490.0
27.806793356,531.0
27.833053921,510.0
27.859314486,456.0
27.885575051,476.0
27.911835616,503.0
27.938096181,517.0
27.964356746,464.0
27.990617311,489.0
28.016877876,466.0
28.043138441,458.0
28.069399006,513.0
28.095659571,471.0
28.121920136,458.0
28.148180701,472.0
28.174441266,524.0
28.200701832,525.0
28.226962397,493.0
28.253222962,515.0
28.279483527,503.0
28.305744092,532.0
28.332004657,491.0
28.358265222,535.0
28.384525787,492.0
28.410786352,523.0
28.437046917,516.0
28.463307482,474.0
28.489568047,501.0
28.515828612,515.0
28.542089177,482.0
28.568349742,502.0
28.594610307,475.0
28.620870872,507.0
28.647131437,502.0
28.673392002,475.0
28.699652567,518.0
28.725913132,580.0
28.752173697,485.0
28.778434262,520.0
28.804694827,495.0
28.830955392,486.0
28.857215957,523.0
28.883476522,439.0
28.909737087,440.0
28.935997652,477.0
28.962258217,457.0
28.988518782,497.0
29.014779347,458.0
29.041039912,455.0
29.067300477,434.0
29.093561042,469.0
29.119821607,496.0
29.146082172,500.0
29.172342737,533.0
29.198603302,553.0
29.224863867,517.0
29.251124432,536.0
29.277384997,494.0
29.303645562,440.0
29.329906127,459.0
29.356166692,449.0
29.382427257,458.0
29.408687822,463.0
29.434948387,457.0
29.461208952,485.0
29.487469517,484.0
29.513730082,451.0
29.539990647,462.0
29.566251212,444.0
29.592511777,436.0
29.618772342,455.0
29.645032907,446.0
29.671293472,436.0
29.697554037,461.0
29.723814602,437.0
29.750075167,427.0
29.776335732,446.0
29.802596297,432.0
29.828856862,446.0
29.855117427,439.0
29.881377992,398.0
29.907638557,435.0
29.933899122,405.0
29.960159687,475.0
29.986420252,481.0
30.012680817,480.0
30.038941382,488.0
30.065201947,408.0
30.091462512,423.0
30.117723077,458.0
30.143983642,455.0
30.170244207,446.0
30.196504772,496.0
30.222765337,500.0
30.249025902,446.0
30.275286467,487.0
30.301547032,510.0
30.327807597,483.0
30.354068162,507.0
30.380328727,486.0
30.406589292,510.0
30.432849857,525.0
30.459110422,538.0
30.485370987,539.0
30.511631552,544.0
30.537892117,595.0
30.564152682,579.0
30.590413247,531.0
30.616673812,558.0
30.642934377,516.0
30.669194942,550.0
30.695455507,540.0
30.721716072,599.0
30.747976637,618.0
30.774237202,598.0
30.800497767,561.0
