Angle,Intensity
16.435968707,1721.0
16.462229272,1714.0
16.488489837,1706.0
16.514750402,1722.0
16.541010967,1769.0
16.567271532,1653.0
16.593532097,1724.0
16.619792662,1654.0
16.646053227,1777.0
16.672313792,1696.0
16.698574357,1720.0
16.724834922,1735.0
16.751095487,1704.0
16.777356052,1779.0
16.803616617,1732.0
16.829877182,1613.0
16.856137747,1590.0
16.882398312,1727.0
16.908658877,1644.0
16.934919442,1778.0
16.961180007,1677.0
16.987440572,1666.0
17.013701138,1729.0
17.039961703,1740.0
17.066222268,1682.0
17.092482833,1635.0
17.118743398,1635.0
17.145003963,1694.0
17.171264528,1680.0
17.197525093,1596.0
17.223785658,1711.0
17.250046223,1627.0
17.276306788,1697.0
17.302567353,1641.0
17.328827918,1637.0
17.355088483,1700.0
17.381349048,1703.0
17.407609613,1623.0
17.433870178,1681.0
17.460130743,1608.0
17.486391308,1670.0
17.512651873,1618.0
17.538912438,1658.0
17.565173003,1715.0
17.591433568,1621.0
17.617694133,1627.0
17.643954698,1653.0
17.670215263,1564.0
17.696475828,1619.0
17.722736393,1588.0
17.748996958,1679.0
17.775257523,1592.0
17.801518088,1651.0
17.827778653,1597.0
17.854039218,1626.0
17.880299783,1629.0
17.906560348,1703.0
17.932820913,1604.0
17.959081478,1648.0
17.985342043,1713.0
18.011602608,1686.0
18.037863173,1657.0
18.064123738,1671.0
18.090384303,1655.0
18.116644868,1669.0
18.142905433,1603.0
18.169165998,1667.0
18.195426563,1567.0
18.221687128,1591.0
18.247947693,1589.0
18.274208258,1594.0
18.300468823,1616.0
18.326729388,1627.0
18.352989953,1666.0
18.379250518,1579.0
18.405511083,1633.0
18.431771648,1565.0
18.458032213,1714.0
18.484292778,1556.0
18.510553343,1584.0
18.536813908,1622.0
18.563074473,1571.0
18.589335038,1667.0
18.615595603,1623.0
18.641856168,1556.0
18.668116733,1651.0
18.694377298,1603.0
18.720637863,1600.0
18.746898428,1564.0
18.773158993,1614.0
18.799419558,1524.0
18.825680123,1609.0
18.851940688,1504.0
18.878201253,1553.0
18.904461818,1566.0
18.930722383,1609.0
18.956982948,1602.0
18.983243513,1605.0
19.009504078,1587.0
19.035764643,1593.0
19.062025208,1568.0
19.088285773,1527.0
19.114546338,1561.0
19.140806903,1571.0
19.167067468,1603.0
19.193328033,1594.0
19.219588598,1609.0
19.245849163,1639.0
19.272109728,1619.0
19.298370293,1472.0
19.324630858,1584.0
19.350891423,1546.0
19.377151988,1529.0
19.403412553,1684.0
19.429673118,1594.0
19.455933683,1564.0
19.482194248,1483.0
19.508454813,1667.0
19.534715378,1515.0
19.560975943,1621.0
19.587236508,1559.0
19.613497073,1520.0
19.639757638,1459.0
19.666018203,1483.0
19.692278768,1540.0
19.718539333,1511.0
19.744799898,1562.0
19.771060463,1508.0
19.797321028,1576.0
19.823581594,1621.0
19.849842159,1579.0
19.876102724,1589.0
19.902363289,1551.0
19.928623854,1563.0
19.954884419,1531.0
19.981144984,1543.0
20.007405549,1515.0
20.033666114,1559.0
